,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,company_size,age_class
12,0,1.0,1.0,Yes,I am not sure,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,"No, it has not","No, they do not",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Female,United States of America,New Jersey,United States of America,New Jersey,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always,4,3
13,0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,2,No,No,No,Maybe,Yes,No,1,Yes,No,Maybe,"Yes, I think they would",Not open at all,Yes,Maybe,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,44,Male,Canada,,Canada,,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,4,4
14,0,1.0,1.0,Yes,Yes,No,I don't know,Yes,1,No,No,Yes,Yes,No,No,1,No,No,"No, it has not","No, they do not",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,35,Male,United States of America,Georgia,United States of America,Georgia,Designer,Always,4,3
15,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Neutral,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,52,Male,United States of America,Oregon,United States of America,Oregon,Other|Executive Leadership,Sometimes,4,5
16,0,1.0,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,5,Maybe,No,Maybe,Maybe,No,No,1,Yes,No,"Yes, it has","No, I don't think they would",Very open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Female,Canada,,Canada,,Front-end Developer,Always,3,3
17,0,1.0,1.0,No,No,No,No,I don't know,0,Maybe,No,Yes,Maybe,No,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,,United Kingdom,,Back-end Developer,Never,5,3
19,0,0.0,0.0,I don't know,No,No,No,I don't know,0,Yes,No,No,No,Yes,No,1,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,31,Male,United States of America,New Jersey,United States of America,New York,Full track,Sometimes,4,3
20,0,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,Maybe,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes,2,2
21,0,0.0,0.0,Yes,No,Yes,I don't know,I don't know,2,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Indiana,United States of America,Indiana,Other,Never,6,3
22,0,1.0,1.0,Yes,Yes,No,No,I don't know,1,Maybe,Maybe,Maybe,No,I don't know,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,Maybe,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,25,Male,Germany,,Germany,,Back-end Developer,Sometimes,3,2
23,0,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Maybe,Yes,Yes,No,Yes,1,Sometimes,Often,33,Male,Canada,,Canada,,Back-end Developer,Sometimes,1,3
25,0,0.0,0.0,Yes,Yes,I don't know,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,0,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,Germany,,Germany,,Supervisor/Team Lead|Support|Back-end Developer,Never,4,4
26,0,0.0,0.0,No,No,No,No,I don't know,5,Yes,Yes,No,No,No,No,1,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Often,27,Male,Netherlands,,Netherlands,,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes,3,2
27,0,1.0,1.0,I don't know,No,No,No,I don't know,4,No,No,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,No,No,No,Maybe,No,1,Sometimes,Often,35,Male,Germany,,Germany,,Back-end Developer,Never,4,3
28,0,0.0,0.0,I don't know,No,Yes,Yes,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,Yes,1,Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,Yes,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,34,Female,United Kingdom,,United Kingdom,,Other,Never,5,3
29,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,Yes,2,No,No,Yes,Yes,Yes,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Genderqueer/Other,United Kingdom,,United Kingdom,,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never,2,3
30,0,1.0,1.0,Not eligible for coverage / N/A,Yes,No,No,I don't know,2,Maybe,No,Maybe,Maybe,No,No,0,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Maybe,No,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Genderqueer/Other,Germany,,Germany,,Back-end Developer,Never,4,3
31,0,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,"No, I don't think it would","No, they do not",Very open,No,Maybe,No,Yes,Yes,Yes,1,Often,Sometimes,30,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead|Back-end Developer,Sometimes,4,3
32,0,1.0,1.0,I don't know,I am not sure,No,No,I don't know,1,Maybe,No,No,Maybe,No,No,0,No,No,Maybe,Maybe,Somewhat open,No,Maybe,I don't know,Yes,Maybe,No,0,Rarely,Often,31,Male,United States of America,Minnesota,United States of America,Minnesota,One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other,Never,6,3
34,0,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe,No,No,Yes,Yes,No,0,Not applicable to me,Sometimes,36,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer,Sometimes,3,3
35,0,1.0,1.0,No,No,No,Yes,I don't know,2,Maybe,No,No,No,I don't know,Yes,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,Germany,,Germany,,Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead,Never,4,3
36,0,1.0,1.0,Yes,I am not sure,No,Yes,Yes,1,No,No,Yes,Maybe,Yes,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,44,Male,United States of America,Washington,United States of America,Washington,Back-end Developer,Always,3,4
37,0,1.0,1.0,No,Yes,No,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,Yes,Yes,No,No,Maybe,No,0,Never,Sometimes,29,Male,United Kingdom,,United Kingdom,,Front-end Developer,Never,4,2
38,0,1.0,1.0,No,I am not sure,Yes,No,I don't know,2,No,No,Maybe,Yes,I don't know,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Maybe,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,29,Male,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,4,2
39,0,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,3,Maybe,No,Yes,Yes,I don't know,Yes,1,Yes,Yes,Maybe,Maybe,Very open,Yes,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,44,Male,Canada,,Canada,,Support|Other,Always,6,4
41,0,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,2,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe,No,I don't know,Yes,Yes,No,1,Rarely,Sometimes,40,Male,United States of America,Minnesota,United States of America,Minnesota,Other,Always,4,4
42,0,1.0,1.0,Yes,I am not sure,No,No,Yes,4,Yes,Maybe,Yes,Yes,No,No,1,Maybe,No,Maybe,Maybe,Very open,Maybe,No,Yes,Yes,Yes,No,1,Often,Often,46,Female,Netherlands,,Netherlands,,Supervisor/Team Lead|Other,Never,6,4
44,0,0.0,0.0,No,I am not sure,No,No,No,4,Maybe,No,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,Georgia,United States of America,Georgia,Back-end Developer,Never,6,4
45,0,1.0,1.0,Yes,Yes,I don't know,Yes,I don't know,2,Maybe,Maybe,Maybe,Maybe,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Kentucky,United States of America,Kentucky,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes,2,3
47,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,2,4
49,0,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,Yes,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,Maybe,No,Maybe,Yes,Yes,1,Often,Often,37,Female,United States of America,California,United States of America,California,Supervisor/Team Lead,Always,2,3
50,0,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,Maybe,No,No,I don't know,No,1,No,No,"Yes, it has",Maybe,Neutral,Maybe,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,Male,Australia,,Australia,,Executive Leadership,Never,3,3
51,0,1.0,1.0,Yes,Yes,No,No,Yes,1,Maybe,Maybe,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,California,United States of America,California,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes,2,2
53,0,1.0,1.0,Yes,Yes,No,Yes,I don't know,4,Maybe,Maybe,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,"No, I don't think they would",Neutral,Yes,Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,36,Male,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes,6,3
54,0,0.0,0.0,Yes,Yes,No,No,I don't know,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,Maybe,No,Maybe,Maybe,Yes,1,Rarely,Often,34,Male,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin|Back-end Developer,Always,5,3
55,0,0.0,0.0,Yes,No,Yes,Yes,I don't know,4,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,No,Maybe,"No, I don't think they would",Somewhat not open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,United States of America,Massachusetts,United States of America,Massachusetts,Other,Sometimes,6,3
56,0,1.0,1.0,Yes,Yes,No,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,0,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,Maybe,Maybe,Yes,1,Rarely,Often,30,Male,United States of America,Oregon,United States of America,Oregon,Full track,Never,3,3
57,0,0.0,0.0,Yes,Yes,No,I don't know,Yes,4,Maybe,No,Maybe,Yes,No,No,1,Yes,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe,Maybe,Yes,Maybe,Maybe,No,0,Sometimes,Often,32,Male,Canada,,Canada,,Supervisor/Team Lead,Never,4,3
58,0,0.0,0.0,Yes,I am not sure,No,No,I don't know,4,No,No,No,Maybe,I don't know,No,1,Maybe,No,"No, I don't think it would",Maybe,Somewhat not open,No,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,Female,United States of America,North Dakota,United States of America,North Dakota,Full track,Sometimes,2,4
59,0,0.0,0.0,I don't know,No,No,No,I don't know,3,Maybe,No,Maybe,No,I don't know,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,4,4
60,0,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,3,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Maybe,I don't know,No,Maybe,No,0,Sometimes,Sometimes,41,Male,France,,France,,Back-end Developer,Sometimes,6,4
61,0,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,5,Yes,No,No,Maybe,No,No,1,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,No,Yes,Maybe,Yes,1,Rarely,Often,27,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin,Never,3,2
62,0,1.0,1.0,Yes,Yes,No,No,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Sometimes,3,3
66,0,0.0,0.0,No,Yes,No,No,I don't know,4,Maybe,No,Maybe,Maybe,No,Yes,1,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,35,Female,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead,Never,2,3
67,0,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,3,Maybe,Maybe,No,No,I don't know,No,1,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Often,Often,29,Male,United States of America,Texas,United States of America,Texas,Back-end Developer,Always,6,2
68,0,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,0,Maybe,Maybe,No,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,Maybe,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,New York,United States of America,New York,Front-end Developer,Never,4,2
69,0,0.0,0.0,No,Yes,No,I don't know,Yes,1,No,No,No,Yes,Yes,No,1,No,No,Maybe,"Yes, I think they would",Very open,No,Maybe,I don't know,Yes,Maybe,Yes,1,Rarely,Often,27,Male,Netherlands,,Netherlands,,Back-end Developer,Sometimes,3,2
71,0,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,3,No,No,Maybe,Maybe,I don't know,No,0,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Belgium,,Belgium,,Support,Sometimes,4,2
72,0,0.0,0.0,I don't know,No,No,No,I don't know,5,Yes,Maybe,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,United States of America,Texas,United States of America,Texas,Executive Leadership|Supervisor/Team Lead|Back-end Developer,Sometimes,2,4
73,0,1.0,1.0,No,No,No,I don't know,I don't know,1,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Maybe,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,40,Male,Netherlands,,Netherlands,,Full track,Sometimes,1,4
74,0,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,37,Male,United States of America,Tennessee,United States of America,Tennessee,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always,3,3
75,0,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,Netherlands,,Netherlands,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes,3,4
77,0,1.0,1.0,I don't know,I am not sure,No,No,No,2,No,No,Yes,Maybe,Yes,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Female,Netherlands,,Netherlands,,Front-end Developer,Never,2,3
78,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,No,No,No,1,Yes,No,Maybe,Maybe,Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Maryland,United States of America,District of Columbia,Front-end Developer,Sometimes,3,3
79,0,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Male,United States of America,Wisconsin,United States of America,Tennessee,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer,Always,3,3
80,0,1.0,1.0,Yes,Yes,No,I don't know,Yes,0,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,21,Male,United Kingdom,,United Kingdom,,Back-end Developer|DevOps/SysAdmin,Never,1,2
81,0,1.0,1.0,No,No,No,No,I don't know,5,Maybe,Maybe,No,No,I don't know,Yes,1,No,No,Maybe,Maybe,Somewhat not open,Yes,Yes,Yes,Yes,Yes,No,0,Often,Often,36,Male,Brazil,,Brazil,,Back-end Developer,Never,1,3
83,0,1.0,1.0,I don't know,I am not sure,No,I don't know,Yes,2,No,No,Maybe,Yes,Yes,No,0,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Illinois,United States of America,Illinois,Dev Evangelist/Advocate|Back-end Developer,Sometimes,3,3
85,0,1.0,1.0,Yes,No,No,I don't know,I don't know,3,Maybe,No,No,Maybe,No,No,1,Maybe,Yes,Maybe,Maybe,Somewhat not open,Yes,Maybe,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Michigan,United States of America,Michigan,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Never,2,4
86,0,1.0,1.0,I don't know,No,No,No,I don't know,4,Maybe,No,Maybe,Maybe,No,No,1,Yes,No,"Yes, I think it would",Maybe,Somewhat open,No,Maybe,No,Maybe,Maybe,No,0,Not applicable to me,Rarely,41,Male,Canada,,Canada,,Back-end Developer|Supervisor/Team Lead,Never,3,4
87,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,No,No,No,1,Maybe,Maybe,"Yes, it has","Yes, they do",Neutral,Yes,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,3,3
89,0,1.0,1.0,I don't know,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,0,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Sometimes,3,2
90,0,0.0,0.0,No,I am not sure,No,No,I don't know,0,Maybe,No,No,No,I don't know,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,I don't know,Yes,No,Yes,1,Never,Sometimes,33,Male,Brazil,,Brazil,,Other,Never,4,3
91,0,1.0,1.0,Yes,Yes,I don't know,Yes,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Maybe,Yes,Yes,Maybe,Yes,1,Rarely,Often,35,Male,United States of America,Washington,United States of America,Washington,Back-end Developer,Sometimes,6,3
